300,JFK,MIA,09:45,12:30,15/11/2023,15/11/2023,BW201,100
400,MIA,JFK,14:30,17:15,20/12/2023,20/12/2023,BW202,70
250,LAX,JFK,10:15,13:00,05/02/2024,05/02/2024,BW203,110
450,JFK,LHR,09:30,15:45,10/03/2024,10/03/2024,BA123,180
320,ORD,MIA,11:15,14:30,25/05/2024,25/05/2024,AA256,200
550,CDG,NRT,10:45,19:20,12/08/2024,12/08/2024,AF789,160
280,LAX,LAS,07:30,08:45,17/10/2024,17/10/2024,WN456,100
380,MIA,JFK,13:20,16:45,02/12/2024,02/12/2024,AA321,150
290,LHR,CDG,08:10,10:30,20/01/2025,20/01/2025,BA456,120
520,SFO,ATL,10:45,15:20,07/03/2025,07/03/2025,DL789,180
350,ORD,DFW,12:30,14:45,14/06/2025,14/06/2025,AA654,160
420,LAX,LAS,09:15,10:30,29/08/2025,29/08/2025,WN321,140
470,SJO,MEX,11:30,15:20,03/10/2025,03/10/2025,AM456,200
310,JFK,LAX,08:00,13:15,12/12/2025,12/12/2025,B6Q12,170
270,ATL,MIA,14:45,18:10,27/01/2026,27/01/2026,DL987,190
400,CDG,JFK,10:00,14:20,15/03/2026,15/03/2026,AF543,150
330,DFW,LAX,12:10,14:30,20/05/2026,20/05/2026,AA789,160
390,LAX,MIA,09:30,13:45,08/08/2026,08/08/2026,AA123,170
480,LHR,JFK,10:15,14:40,11/10/2026,11/10/2026,BA789,190
350,MEX,SJO,08:45,11:15,25/12/2026,25/12/2026,AM789,140
290,LAS,SFO,12:30,13:45,01/02/2027,01/02/2027,WN654,150
420,JFK,CDG,11:10,17:30,18/04/2027,18/04/2027,AF456,200
510,DFW,ORD,09:00,11:15,30/06/2027,30/06/2027,AA321,180
300,MIA,ATL,13:15,16:40,10/08/2027,10/08/2027,DL123,160
400,LAX,LAS,08:30,09:45,22/10/2027,22/10/2027,WN789,170
