330, DCA, BOS, 09:15, 10:45, 05/11/2023, 05/11/2023, EW601, 90400, BOS, ORD, 14:00, 16:30, 12/11/2023, 12/11/2023, EW602, 60290, ORD, DCA, 12:30, 14:00, 19/11/2023, 19/11/2023, EW603, 85200, LAS, JFK, 09:15, 14:30, 26/11/2023, 26/11/2023, DL654, 20
210, ORD, LGA, 08:30, 13:45, 03/12/2023, 03/12/2023, AA789, 18
230, MIA, CDG, 10:30, 16:00, 10/12/2023, 10/12/2023, BA456, 2
240, DEN, BOS, 11:45, 12:50, 17/12/2023, 17/12/2023, WN123, 24
200, JFK, ATL, 13:00, 17:25, 24/12/2023, 24/12/2023, BA123, 19
220, LHR, MCO, 10:15, 13:45, 31/12/2023, 31/12/2023, B6Q22, 21
190, SEA, ATL, 09:30, 10:45, 07/01/2024, 07/01/2024, WN321, 17
230, ATL, LHR, 11:20, 16:40, 14/01/2024, 14/01/2024, DL321, 23
210, DFW, BNA, 08:45, 11:00, 21/01/2024, 21/01/2024, AA456, 20
240, IAH, PHL, 14:10, 17:30, 28/01/2024, 28/01/2024, AF789, 0
200, SJC, DEN, 12:00, 16:25, 04/02/2024, 04/02/2024, AA321, 18
250, LAS, JFK, 09:15, 14:30, 11/02/2024, 11/02/2024, DL654, 19
260, ORD, LGA, 08:30, 13:45, 18/02/2024, 18/02/2024, AA789, 0
270, MIA, CDG, 10:30, 16:00, 25/02/2024, 25/02/2024, BA456, 17
270, DEN, BOS, 11:45, 12:50, 03/03/2024, 03/03/2024, WN123, 19
220, JFK, ATL, 13:00, 17:25, 10/03/2024, 10/03/2024, BA123, 0
230, LHR, MCO, 10:15, 13:45, 17/03/2024, 17/03/2024, B6Q22, 21
200, SEA, ATL, 09:30, 10:45, 24/03/2024, 24/03/2024, WN321, 20
240, ATL, LHR, 11:20, 16:40, 31/03/2024, 31/03/2024, DL321, 0
210, DFW, BNA, 08:45, 11:00, 07/04/2024, 07/04/2024, AA456, 19
220, IAH, PHL, 14:10, 17:30, 14/04/2024, 14/04/2024, AF789, 18
200, SJC, DEN, 12:00, 16:25, 21/04/2024, 21/04/2024, AA321, 20
